"ID","count"
"k105_105770_1",0
"k105_105903_0",0
"k105_105903_1",0
"k105_105903_10",0
"k105_105903_11",0
"k105_105903_12",0
"k105_105903_13",0
"k105_105903_14",0
"k105_105903_15",0
"k105_105903_16",0
"k105_105903_17",0
"k105_105903_18",0
"k105_105903_19",0
"k105_105903_2",0
"k105_105903_20",0
"k105_105903_21",0
"k105_105903_22",0
"k105_105903_23",0
"k105_105903_24",0
"k105_105903_25",0
"k105_105903_26",0
"k105_105903_27",0
"k105_105903_28",0
"k105_105903_29",0
"k105_105903_3",0
"k105_105903_30",0
"k105_105903_31",0
"k105_105903_32",0
"k105_105903_33",0
"k105_105903_34",0
"k105_105903_35",0
"k105_105903_36",0
"k105_105903_37",0
"k105_105903_38",0
"k105_105903_39",0
"k105_105903_4",0
"k105_105903_40",0
"k105_105903_5",0
"k105_105903_6",0
"k105_105903_7",0
"k105_105903_8",0
"k105_105903_9",0
"k105_105987_0",0
"k105_105987_1",4
"k105_106018_0",0
"k105_106018_1",0
"k105_106018_2",0
"k105_106070_0",0
"k105_106112_0",0
"k105_106112_1",0
"k105_106112_2",1
"k105_106112_3",0
"k105_106112_4",0
"k105_106132_0",0
"k105_106132_1",0
"k105_106132_10",0
"k105_106132_2",0
"k105_106132_3",0
"k105_106132_4",0
"k105_106132_5",0
"k105_106132_6",0
"k105_106132_7",0
"k105_106132_8",0
"k105_106132_9",0
"k105_106147_0",0
"k105_106147_1",0
"k105_106147_2",0
"k105_106147_3",0
"k105_106147_4",0
"k105_106147_5",0
"k105_106147_6",0
"k105_106172_0",0
"k105_106172_1",0
"k105_106172_2",0
"k105_106172_3",0
"k105_106172_4",0
"k105_106172_5",0
"k105_106172_6",0
"k105_106172_7",0
"k105_106172_8",0
"k105_106192_0",0
"k105_106192_1",0
"k105_106192_2",0
"k105_106192_3",0
"k105_106192_4",0
"k105_10621_0",0
"k105_10621_1",0
"k105_10621_2",0
"k105_10621_3",0
"k105_10621_4",0
"k105_10621_5",0
"k105_10621_6",0
"k105_10621_7",0
"k105_10621_8",0
"k105_10621_9",0
"k105_10623_0",0
"k105_10623_1",0
"k105_10623_2",0
"k105_10623_3",0
"k105_10623_4",0
"k105_10623_5",0
"k105_10623_6",0
"k105_106257_0",0
"k105_106257_1",0
"k105_106257_2",0
"k105_106257_3",0
"k105_106257_4",0
"k105_106299_0",0
"k105_106299_1",0
"k105_106299_2",0
"k105_106299_3",0
"k105_106312_0",0
"k105_106312_1",0
"k105_106333_0",0
"k105_106333_1",0
"k105_106333_2",0
"k105_106356_0",0
"k105_106356_1",0
"k105_106380_0",0
"k105_106380_1",0
"k105_106380_2",0
"k105_106380_3",0
"k105_106380_4",0
"k105_106391_0",0
"k105_106391_1",0
"k105_106391_2",0
"k105_106419_0",0
"k105_106419_1",0
"k105_106419_2",0
"k105_106491_0",0
"k105_106491_1",0
"k105_106596_0",0
"k105_106596_1",2
"k105_106596_2",0
"k105_106596_3",0
"k105_106599_0",0
"k105_106599_1",0
"k105_106599_2",0
"k105_106604_0",0
"k105_106604_1",0
"k105_106685_0",0
"k105_106685_1",0
"k105_106714_0",0
"k105_106714_1",0
"k105_106714_2",0
"k105_106724_0",0
"k105_106724_1",0
"k105_106724_2",0
"k105_106745_0",0
"k105_106745_1",0
"k105_106745_2",0
"k105_106745_3",0
"k105_106745_4",0
"k105_106745_5",0
"k105_106748_0",0
"k105_106748_1",0
"k105_106748_2",0
"k105_106748_3",0
"k105_106800_0",0
"k105_106800_1",0
"k105_106800_2",0
"k105_106800_3",0
"k105_106800_4",0
"k105_106800_5",0
"k105_106800_6",0
"k105_106800_7",0
"k105_106800_8",0
"k105_106802_0",0
"k105_106802_1",0
"k105_106802_2",0
"k105_106802_3",0
"k105_106802_4",0
"k105_106816_0",0
"k105_106816_1",0
"k105_106816_2",0
"k105_106816_3",0
"k105_106840_0",0
"k105_106840_1",0
"k105_106840_2",0
